主要影响年龄层为儿童,主要影响年龄层为成年,主要影响年龄层为老年,主要影响年龄层为青年,事件一年内频率,事件历史悠久程度,事件热度,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期,地点,天气预警等级
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,黑龙江省哈尔滨市发布大风蓝色预警,2017/08/29,黑龙江省哈尔滨市,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省龙岩市发布高温橙色预警,2017/08/29,福建省龙岩市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,黑龙江省鸡西市发布大风蓝色预警,2017/08/29,黑龙江省鸡西市,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区钦州市发布暴雨黄色预警,2017/08/29,广西壮族自治区钦州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,黑龙江省大兴安岭地区发布大风蓝色预警,2017/08/29,黑龙江省大兴安岭地区,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省韶关市发布高温黄色预警,2017/08/29,广东省韶关市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省荆门市发布大风蓝色预警,2017/08/29,湖北省荆门市,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,内蒙古自治区兴安盟发布大风蓝色预警,2017/08/29,内蒙古自治区兴安盟,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省孝感市发布大风蓝色预警,2017/08/29,湖北省孝感市,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省武汉市发布雷电黄色预警,2017/08/29,湖北省武汉市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省南阳市发布大风蓝色预警,2017/08/29,河南省南阳市,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省南平市发布高温橙色预警,2017/08/29,福建省南平市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省泉州市发布高温橙色预警,2017/08/29,福建省泉州市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省发布高温橙色预警,2017/08/29,福建省,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,黑龙江省七台河市发布大风蓝色预警,2017/08/29,黑龙江省七台河市,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省发布暴雨蓝色预警,2017/08/29,河南省,IV级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,江西省赣州市发布雷电黄色预警,2017/08/29,江西省赣州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省南充市发布雷电黄色预警,2017/08/29,四川省南充市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省凉山彝族自治州发布雷电黄色预警,2017/08/30,四川省凉山彝族自治州,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省郑州市发布暴雨蓝色预警,2017/08/30,河南省郑州市,IV级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省发布暴雨黄色预警,2017/08/30,四川省,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省南充市发布暴雨黄色预警,2017/08/30,四川省南充市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省遂宁市发布雷电黄色预警,2017/08/30,四川省遂宁市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省河源市发布高温黄色预警,2017/08/30,广东省河源市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省潮州市发布高温黄色预警,2017/08/30,广东省潮州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省东莞市发布高温黄色预警,2017/08/30,广东省东莞市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省十堰市发布暴雨蓝色预警,2017/08/30,湖北省十堰市,IV级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省遂宁市发布暴雨黄色预警,2017/08/30,四川省遂宁市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省汕头市发布高温黄色预警,2017/08/30,广东省汕头市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省广州市发布高温黄色预警,2017/08/30,广东省广州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省深圳市发布高温黄色预警,2017/08/30,广东省深圳市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省惠州市发布高温黄色预警,2017/08/30,广东省惠州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省莆田市发布高温橙色预警,2017/08/30,福建省莆田市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省佛山市发布高温黄色预警,2017/08/30,广东省佛山市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省江门市发布高温黄色预警,2017/08/30,广东省江门市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省珠海市发布高温黄色预警,2017/08/30,广东省珠海市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省清远市发布高温黄色预警,2017/08/30,广东省清远市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,浙江省丽水市发布高温橙色预警,2017/08/30,浙江省丽水市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省巴中市发布暴雨黄色预警,2017/08/30,四川省巴中市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省福州市发布高温橙色预警,2017/08/30,福建省福州市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省资阳市发布暴雨黄色预警,2017/08/30,四川省资阳市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省中山市发布高温黄色预警,2017/08/30,广东省中山市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省肇庆市发布高温黄色预警,2017/08/30,广东省肇庆市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,辽宁省发布大风蓝色预警,2017/08/30,辽宁省,IV级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,辽宁省大连市发布大风蓝色预警,2017/08/30,辽宁省大连市,IV级预警
1,1,1,1,0,0,1,2017/08/30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省三明市发布高温橙色预警,2017/08/30,福建省三明市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省长沙市发布高温黄色预警,2017/08/21,湖南省长沙市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,吉林省四平市发布雷电黄色预警,2017/08/22,吉林省四平市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省茂名市发布台风黄色预警,2017/08/22,广东省茂名市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,内蒙古自治区发布暴雨蓝色预警,2017/08/22,内蒙古自治区,IV级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省阳江市发布台风橙色预警,2017/08/22,广东省阳江市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省三门峡市发布大风蓝色预警,2017/08/22,河南省三门峡市,IV级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,北京市密云区发布雷电蓝色预警,2017/08/22,北京市密云区,IV级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,吉林省松原市发布雷电黄色预警,2017/08/22,吉林省松原市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,吉林省吉林市发布雷电黄色预警,2017/08/22,吉林省吉林市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/22,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,吉林省辽源市发布雷电黄色预警,2017/08/22,吉林省辽源市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,吉林省发布暴雨黄色预警,2017/08/23,吉林省,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,山东省聊城市发布雷电黄色预警,2017/08/23,山东省聊城市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省洛阳市发布大风蓝色预警,2017/08/23,河南省洛阳市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区发布台风黄色预警,2017/08/23,广西壮族自治区,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省江门市发布台风橙色预警,2017/08/23,广东省江门市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省珠海市发布台风红色预警,2017/08/23,广东省珠海市,I级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省汕尾市发布暴雨黄色预警,2017/08/23,广东省汕尾市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省发布暴雨蓝色预警,2017/08/23,福建省,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省珠海市发布暴雨黄色预警,2017/08/23,广东省珠海市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省达州市发布高温橙色预警,2017/08/23,四川省达州市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,吉林省吉林市发布暴雨黄色预警,2017/08/23,吉林省吉林市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省中山市发布暴雨黄色预警,2017/08/23,广东省中山市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区钦州市发布台风蓝色预警,2017/08/23,广西壮族自治区钦州市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区北海市发布台风黄色预警,2017/08/23,广西壮族自治区北海市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省漳州市发布暴雨蓝色预警,2017/08/23,福建省漳州市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省江门市发布暴雨黄色预警,2017/08/23,广东省江门市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省湘潭市发布高温黄色预警,2017/08/23,湖南省湘潭市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区贺州市发布台风蓝色预警,2017/08/23,广西壮族自治区贺州市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,海南省海口市发布台风蓝色预警,2017/08/23,海南省海口市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省南充市发布高温橙色预警,2017/08/23,四川省南充市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省漳州市发布台风蓝色预警,2017/08/23,福建省漳州市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区崇左市发布雷电橙色预警,2017/08/23,广西壮族自治区崇左市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区发布暴雨橙色预警,2017/08/23,广西壮族自治区,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区防城港市发布台风黄色预警,2017/08/23,广西壮族自治区防城港市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区崇左市发布暴雨橙色预警,2017/08/23,广西壮族自治区崇左市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,云南省红河哈尼族彝族自治州发布高温橙色预警,2017/08/23,,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省发布大风蓝色预警,2017/08/23,河南省,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省郑州市发布大风蓝色预警,2017/08/23,河南省郑州市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,吉林省四平市发布暴雨蓝色预警,2017/08/23,吉林省四平市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省佛山市发布台风橙色预警,2017/08/23,广东省佛山市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,云南省保山市发布高温黄色预警,2017/08/23,云南省保山市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,辽宁省大连市发布暴雨橙色预警,2017/08/23,辽宁省大连市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,重庆市发布高温橙色预警,2017/08/23,重庆市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,贵州省黔西南布依族苗族自治州发布雷电黄色预警,2017/08/23,贵州省黔西南布依族苗族自治州,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,福建省南平市发布雷电黄色预警,2017/08/23,福建省南平市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,新疆维吾尔自治区阿克苏地区发布暴雨蓝色预警,2017/08/23,新疆维吾尔自治区阿克苏地区,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省肇庆市发布暴雨黄色预警,2017/08/23,广东省肇庆市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省邵阳市发布雷电黄色预警,2017/08/23,湖南省邵阳市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区南宁市发布暴雨橙色预警,2017/08/23,广西壮族自治区南宁市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,贵州省六盘水市发布雷电黄色预警,2017/08/23,贵州省六盘水市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省荆州市发布雷电黄色预警,2017/08/23,湖北省荆州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省平顶山市发布大风蓝色预警,2017/08/23,河南省平顶山市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河北省沧州市发布雷电黄色预警,2017/08/23,河北省沧州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省益阳市发布雷电橙色预警,2017/08/23,湖南省益阳市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,海南省发布台风蓝色预警,2017/08/23,海南省,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,辽宁省沈阳市发布暴雨黄色预警,2017/08/23,辽宁省沈阳市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,云南省楚雄彝族自治州发布雷电黄色预警,2017/08/23,云南省楚雄彝族自治州,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省怀化市发布雷电橙色预警,2017/08/23,湖南省怀化市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区河池市发布雷电橙色预警,2017/08/23,广西壮族自治区河池市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省湘西土家族苗族自治州发布雷电橙色预警,2017/08/23,,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,安徽省安庆市发布高温橙色预警,2017/08/23,安徽省安庆市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,安徽省池州市发布高温橙色预警,2017/08/23,安徽省池州市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省黄冈市发布雷电黄色预警,2017/08/23,湖北省黄冈市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省荆门市发布雷电黄色预警,2017/08/23,湖北省荆门市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省佛山市发布暴雨黄色预警,2017/08/23,广东省佛山市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区百色市发布雷电黄色预警,2017/08/23,广西壮族自治区百色市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,山东省潍坊市发布雷电黄色预警,2017/08/23,山东省潍坊市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,安徽省铜陵市发布高温橙色预警,2017/08/23,安徽省铜陵市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省岳阳市发布雷电黄色预警,2017/08/23,湖南省岳阳市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区百色市发布台风蓝色预警,2017/08/23,广西壮族自治区百色市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,河南省安阳市发布雷电黄色预警,2017/08/23,河南省安阳市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,山东省烟台市发布暴雨蓝色预警,2017/08/23,山东省烟台市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,四川省泸州市发布雷电黄色预警,2017/08/23,四川省泸州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省常德市发布暴雨黄色预警,2017/08/23,湖南省常德市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省怀化市发布暴雨橙色预警,2017/08/23,湖南省怀化市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,辽宁省发布雷电黄色预警,2017/08/23,辽宁省,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省阳江市发布暴雨橙色预警,2017/08/23,广东省阳江市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省孝感市发布雷电黄色预警,2017/08/23,湖北省孝感市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区来宾市发布台风蓝色预警,2017/08/23,,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,海南省三亚市发布台风蓝色预警,2017/08/23,海南省三亚市,IV级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省发布高温黄色预警,2017/08/23,湖南省,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省云浮市发布台风红色预警,2017/08/23,广东省云浮市,I级预警
1,1,1,1,0,0,1,2017/08/23,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广西壮族自治区玉林市发布暴雨橙色预警,2017/08/23,广西壮族自治区玉林市,Ⅱ级预警
