主要影响年龄层为儿童,主要影响年龄层为成年,主要影响年龄层为老年,主要影响年龄层为青年,事件热度,事件一年内频率,事件历史悠久程度,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期,地点
0,1,0,0,1,1,1,2017.09.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,山形瑞秋 Rachael Yamagata 2017中国巡演,,广州市
0,1,0,0,1,1,1,2017.10.13 19:30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017中国越剧精英演唱会,,温州市
0,1,0,0,1,1,1,2017.09.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,跨越世纪的欧洲后摇之声 LEECH成军22年首次中国巡回西安站,,辽源市
0,1,0,0,1,1,1,2017.12.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,“再见如初见”-陈佳2017 追忆邓丽君演唱会,,昆明市
0,1,0,0,1,1,1,2017.09.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,W&W;  AT  NOVA PARTY FACTORY,,宁波市
0,1,0,0,2,1,1,2017.10.07 20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,“青年晚报”—许嵩2017广州演唱会,,广州市
0,1,0,0,2,1,1,2017.10.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017周笔畅Not Typical巡回演唱会 – 北京站,,北京市
0,1,0,0,1,1,1,2017.09.23 20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,动力火车“下一站”巡回演唱会--包头站,,包头市
0,1,0,0,1,1,1,2017.09.16-09.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,摇滚上市l二手玫瑰亚洲巡演-徐州站   T-LOVE PANDA爱生活音乐节,,徐州市
0,1,0,0,1,1,1,2017.11.24 20:30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,“Simple Jazz 简单爵士” 司徒嘉伟 2017年全国巡回演唱会杭州站,,杭州市
0,1,0,0,1,1,1,2017.11.17 19:30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【万有音乐系】当肖邦遇见李斯特——宋思衡钢琴独奏音乐会 杭州站,,杭州市
0,1,0,0,1,1,1,2017.08.30 20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【MAO Live呈现】Zebbler Encanti Experience 超自然中国巡演 上海站,,未知
0,1,0,0,1,1,1,2017.09.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【在一起】杨搏个人音乐会,,武汉市
0,1,0,0,1,1,1,2017.09.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,龙采中意之夜群星演唱会,,哈尔滨市
0,1,0,0,1,1,1,2017.09.22 20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017【咪咕音乐现场】刘忻“怦然忻动”粉丝见面会,,重庆市
0,1,0,0,1,1,1,2017.10.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,The Magical Teeter Totter 张敬轩•王菀之演唱会2017澳门站,,澳门特别行政区
0,1,0,0,1,1,1,2017.11.17 19:30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【万有音乐系】当肖邦遇见李斯特——宋思衡钢琴独奏音乐会 杭州站,,杭州市
0,1,0,0,1,1,1,2017.08.30 20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【MAO Live呈现】Zebbler Encanti Experience 超自然中国巡演 上海站,,未知
0,1,0,0,1,1,1,2017.09.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【在一起】杨搏个人音乐会,,武汉市
0,1,0,0,1,1,1,2017.09.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,龙采中意之夜群星演唱会,,哈尔滨市
0,1,0,0,1,1,1,2017.09.22 20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017【咪咕音乐现场】刘忻“怦然忻动”粉丝见面会,,重庆市
0,1,0,0,1,1,1,2017.10.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,The Magical Teeter Totter 张敬轩•王菀之演唱会2017澳门站,,澳门特别行政区
0,1,0,0,1,1,1,2017/09/09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017怀柔百威风暴音乐嘉年华,2017/09/10,北京市
0,1,0,0,1,1,1,2017/09/16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,鄂尔多斯我的家•群星演唱会,2017/09/16,鄂尔多斯市
0,1,0,0,1,1,1,2017/11/25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【万有音乐系】 “Tearing Me Up”-Bob Moses 2017中国首演 --上海站,2017/11/25,上海市
0,1,0,0,1,1,1,2017/10/01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,茂兰山谷国际音乐节,2017/10/03,防城港市
0,1,0,0,2,1,1,2017/09/16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017百威风暴电音节长沙站,2017/09/17,长沙市
0,1,0,0,1,1,1,2017/09/10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,中海地产之夜-姜育恒个人演唱会,2017/09/10,长春市
0,1,0,0,1,1,1,2017/10/05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"【万有音乐系】“Craigie Hill克雷吉山""—Cara Dillon卡兰•迪伦2017中国巡回演唱会-上海站",2017/10/05,上海市
0,1,0,0,1,1,1,2017/10/06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,“Simple Jazz 简单爵士”司徒嘉伟 2017年全国巡回演唱会,2017/10/06,连云港市
0,1,0,0,2,1,1,2017/09/09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017成都春浪音乐节,2017/09/10,成都市
0,1,0,0,1,1,1,2017/09/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017天王天后 绍兴演唱会,2017/09/17,绍兴市
0,1,0,0,2,1,1,2017/10/01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017长江国际音乐节,2017/10/02,镇江市
0,1,0,0,1,1,1,2017/12/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,陈绮贞 Acoustic Cheer ego 房间里的音乐会 2017世界巡回演唱会-广州站,2017/12/17,广州市
0,1,0,0,1,1,1,2017/09/23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017首届FANSKING粉客音乐节,2017/09/24,金华市
0,1,0,0,2,1,1,2017年9月15日20:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,[A CLASSIC TOUR 学友.经典]世界巡回演唱会 兰州（临夏）站,2017/9/15,临夏回族自治州
0,1,0,0,1,1,1,2017/12/31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,蓝妹之夜·任贤齐跨越2018演唱会泉州站,2017/12/31,泉州市
0,1,0,0,1,1,1,2017/12/16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017魏晨旅程十周年巡回演唱会—广州站,2017/12/16,广州市
0,1,0,0,1,1,1,2017/11/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【万有音乐系】王韵壹“爵士魅影——电影主题派对”2017巡回演唱会 --- 北京站,2017/11/17,威海市
0,1,0,0,1,1,1,2017/12/29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,刘思涵“同伙”LIVE 2017巡回演唱会深圳站,2017/12/29,深圳市
0,1,0,0,1,1,1,2017/09/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,“梦想启航•一路彤行”关晓彤20成都见面会,2017/09/17,安庆市
0,1,0,0,1,1,1,2017/09/16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017雪花脸谱V2电子音乐节,2017/09/16,成都市
0,1,0,0,1,1,1,2017/09/02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"""恰恰恰""愚人船乐队&Wonderlust; King乐队联合专场",2017/09/02,重庆市
0,1,0,0,1,1,1,2017/10/11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,挪威国宝级天团-神秘园（SecretGarden）中国巡演沈阳站,2017/10/11,沈阳市
0,1,0,0,2,1,1,2017/10/28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017 江南丝路群星演唱会（绍兴站）,2017/10/28,绍兴市
0,1,0,0,1,1,1,2017/09/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,汪苏泷 “莱芙TOUR” 上海演唱会,2017/09/17,曲靖市
0,1,0,0,1,1,1,2017/10/14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,浦发银行信用卡 独家呈献 2017华晨宇“火星”演唱会（10月14日场）,2017/10/14,北京市
0,1,0,0,1,1,1,2017/09/23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017 S-PLANET电子音乐节 青岛站,09/24,青岛市
0,1,0,0,3,1,1,2017/11/11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017 张学友《A Classic Tour 学友·经典》世界巡回演唱会 杭州站,2017/11/11,杭州市
0,1,0,0,1,1,1,2017/09/02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,跨界融合作品《西柏坡组歌—人间正道是沧桑》,09/03,上海市
0,1,0,0,1,1,1,2017/09/16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17路樂隊 2017全國巡演第五季“南巡記”同期发布EP專辑《揚州炒飯》,2017/09/16,宁波市
0,1,0,0,1,1,1,2017/09/08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017绽放女人花系列演唱会 -- 林宝 朱立华 梁竹,09/09,上海市
0,1,0,0,1,1,1,2017/09/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【果石音乐】《重返十八岁》主题音乐演出,2017/09/17,辽源市
0,1,0,0,1,1,1,2017/09/22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,亚冬 2017【单枪匹马】首次中国巡演 西安站,2017/09/22,辽源市
0,1,0,0,1,1,1,2017/09/23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,“ 就问你怕不怕”驳倒乐队咋又巡演 宁波站,2017/09/23,宁波市
0,1,0,0,1,1,1,2017/09/23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017最美花儿群星演唱会 暨丝路（宁夏）汗马音乐节,2017/09/23,银川市
0,0,1,0,1,1,1,2017/12/31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【万有音乐系】“等你出现”-小野丽莎2018跨年演唱会,2017/12/31,天津市
0,1,0,0,1,1,1,2017/09/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,宁夏shia《清名谣》弹唱会 长沙站,2017/09/17,长沙市
0,1,0,0,1,1,1,2017/10/28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TK from 凛冽时雨[First Reflection]北京演唱会,2017/10/28,威海市
0,1,0,0,1,1,1,2017/09/09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Top 100DJS 15 DJ Don Diablo at CLUB UNA,2017/09/09,未知
0,1,0,0,1,1,1,2017/09/24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,芬兰金属Korpiklaani中国巡演,2017/09/24,上海市
0,1,0,0,1,1,1,2017/12/18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Lady Gaga Inglewood 女神卡卡演唱会,2017/12/18,未知
0,0,0,1,1,1,1,2017/12/29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,【万有音乐系】刘瑞琦“温暖的房间”2017巡回演唱会-无锡站,2017/12/29,无锡市
0,1,0,0,1,1,1,2017/09/15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Fido. 2017【The First Time】全国巡演 长沙站,2017/09/15,长沙市
0,1,0,0,1,1,1,2017/09/12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,宇宙情话-王欣宇2017全国巡演 长沙站,2017/09/12,长沙市
0,1,0,0,1,1,1,2017/09/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,黄韵与新定义乐队2017中国 巡演 长沙站,2017/09/20,长沙市
